id,word_id,form_type,position,accented
126847,47491,verb_gerund_past,1,расквита'вшись
126848,47493,verb_gerund_present,1,раски'дываясь
126849,47493,verb_gerund_past,1,раскидывавшись
126850,47499,verb_gerund_present,1,раскла'дываясь
126851,47499,verb_gerund_past,1,раскладывавшись
126852,47500,verb_gerund_present,1,расклёвывая
126853,47500,verb_gerund_past,1,расклёвывав
126854,47500,verb_gerund_past,2,расклёвывавши
126855,47501,verb_gerund_present,1,раскле'ивая
126856,47501,verb_gerund_past,1,расклеивав
126857,47501,verb_gerund_past,2,расклеивавши
126858,47502,verb_gerund_present,1,раскле'иваясь
126859,47502,verb_gerund_past,1,расклеивавшись
126860,47505,verb_gerund_present,1,расклёпывая
126861,47505,verb_gerund_past,1,расклёпывав
