word_id,incomparable,comparative,superlative,short_m,short_f,short_n,short_pl,decl_m_id,decl_f_id,decl_n_id,decl_pl_id
71533,,,,,,,,147003,147004,147005,147006
71534,,,,,,,,147007,147008,147009,147010
71535,,,,,,,,147011,147012,147013,147014
71536,,,,,,,,147015,147016,147017,147018
71537,,,,припёрт,припёрта,припёрто,припёрты,147019,147020,147021,147022
71538,,,,,,,,147023,147024,147025,147026
71539,,,,,,,,147027,147028,147029,147030
71540,,,,,,,,147031,147032,147033,147034
71541,,,,,,,,147035,147036,147037,147038
71542,,,,,,,,147039,147040,147041,147042
71543,,,,,,,,147043,147044,147045,147046
71544,,,,выкраден,выкрадена,выкрадено,выкрадены,147047,147048,147049,147050
71545,,,,,,,,147051,147052,147053,147054
71546,,,,,,,,147055,147056,147057,147058
71547,,,,замышляем,замышляема,замышляемо,замышляемы,147059,147060,147061,147062
71548,,,,,,,,147063,147064,147065,147066
71549,,,,,,,,147067,147068,147069,147070
71550,,,,,,,,147071,147072,147073,147074
71551,,,,практикуем,практикуема,практикуемо,практикуемы,147075,147076,147077,147078
71552,,,,практикован,практикована,практиковано,практикованы,147079,147080,147081,147082
71553,,,,,,,,147083,147084,147085,147086
71554,,,,,,,,147087,147088,147089,147090
71555,,,,закружён,закружена,закружено,закружены,147091,147092,147093,147094
71556,,,,,,,,147095,147096,147097,147098
71557,,,,,,,,147099,147100,147101,147102
71558,,,,,,,,147103,147104,147105,147106
71559,,,,затребован,затребована,затребовано,затребованы,147107,147108,147109,147110
71560,,,,,,,,147111,147112,147113,147114
71561,,,,замутнён,замутнена,замутнено,замутнены,147115,147116,147117,147118
71562,,,,,,,,147119,147120,147121,147122
71563,,,,,,,,147123,147124,147125,147126
71564,,,,,,,,147127,147128,147129,147130
71565,,,,,,,,147131,147132,147133,147134
71566,,,,узаконен,узаконена,узаконено,узаконены,147135,147136,147137,147138
71567,,,,,,,,147139,147140,147141,147142
71568,,,,,,,,147143,147144,147145,147146
71569,,,,,,,,147147,147148,147149,147150
71570,,,,предписываем,предписываема,предписываемо,предписываемы,147151,147152,147153,147154
71571,,,,,,,,147155,147156,147157,147158
71572,,,,,,,,147159,147160,147161,147162
71573,,,,загипнотизирован,загипнотизирована,загипнотизировано,загипнотизированы,147163,147164,147165,147166
71574,,,,,,,,147167,147168,147169,147170
71575,,,,,,,,147171,147172,147173,147174
71576,,,,,,,,147175,147176,147177,147178
71577,,,,,,,,147179,147180,147181,147182
71578,,,,,,,,147183,147184,147185,147186
71579,,,,,,,,147187,147188,147189,147190
71580,,,,,,,,147191,147192,147193,147194
71581,,,,,,,,147195,147196,147197,147198
71582,,,,,,,,147199,147200,147201,147202
71583,,,,,,,,147203,147204,147205,147206
71584,,,,,,,,147207,147208,147209,147210
71585,,,,,,,,147211,147212,147213,147214
71586,,,,,,,,147215,147216,147217,147218
71587,,,,вытряхиваем,вытряхиваема,вытряхиваемо,вытряхиваемы,147219,147220,147221,147222
71588,,,,,,,,147223,147224,147225,147226
71589,,,,,,,,147227,147228,147229,147230
71590,,,,,,,,147231,147232,147233,147234
71591,,,,,,,,147235,147236,147237,147238
71592,,,,додуман,додумана,додумано,додуманы,147239,147240,147241,147242
71593,,,,,,,,147243,147244,147245,147246
71594,,,,,,,,147247,147248,147249,147250
71595,,,,перекрещён,перекрещена,перекрещено,перекрещены,147251,147252,147253,147254
71596,,,,,,,,147255,147256,147257,147258
71597,,,,,,,,147259,147260,147261,147262
